name;kodachrome-25-vsco-colorchecker
description;fitted LUT style from kodachrome-25-vsco-colorchecker.pfm
num_gray; 0
patch;L_source;a_source;b_source;L_reference;a_reference;b_reference
SAT1;55.593109130859375;51.239997863769531;35.2879638671875;53.484970092773438;56.757987976074219;59.2918701171875
SAT2;73.598129272460938;32.296150207519531;71.36822509765625;73.710037231445312;22.524982452392578;68.936065673828125
SAT3;84.233840942382812;1.3947188854217529;83.61065673828125;86.841033935546875;1.6236305236816406;75.35198974609375
SAT4;64.031349182128906;-53.355186462402344;27.548027038574219;72.280746459960938;-56.738555908203125;30.958282470703125
SAT5;61.566658020019531;-24.680822372436523;-32.834815979003906;70.0001220703125;-22.586404800415039;-39.282752990722656
SAT6;50.988494873046875;1.3840198516845703;-52.780067443847656;57.795394897460938;-1.0256171226501465;-55.447113037109375
SAT7;52.875106811523438;32.439620971679688;-29.820430755615234;47.318264007568359;38.363067626953125;-41.666473388671875
SAT8;55.598350524902344;51.385463714599609;0.3600001335144043;49.729873657226562;63.771217346191406;28.691488265991211
WBP1;80.391876220703125;0.85365772247314453;-0.24592876434326172;84.110481262207031;1.2927055358886719;0.98650455474853516
WBP2;81.480758666992188;-1.2503564357757568;-1.0050058364868164;85.685371398925781;0.046908855438232422;-0.003910064697265625
WBP3;81.071533203125;-2.4283826351165771;-2.4766206741333008;85.333976745605469;-0.98490715026855469;-1.9681096076965332
WBP4;81.007759094238281;-4.1519107818603516;-2.7043342590332031;85.241798400878906;-1.7822682857513428;-2.2828817367553711
WBP5;81.45001220703125;-6.1083436012268066;-4.3340682983398438;85.936149597167969;-2.95257568359375;-2.6621341705322266
WBL1;80.353591918945312;4.6522912979125977;0.50792694091796875;83.694686889648438;3.5244524478912354;1.7443060874938965
WBL2;80.885429382324219;4.2316317558288574;-0.10229349136352539;84.327102661132812;3.3557713031768799;1.1723637580871582
WBL3;80.663177490234375;0.85711479187011719;-0.28393268585205078;84.390266418457031;1.2929439544677734;0.93753337860107422
WBL4;81.00811767578125;-1.208961009979248;-2.6307821273803711;85.24609375;0.19547343254089355;-2.0749568939208984
WBL5;80.932052612304688;-2.2480487823486328;-5.7284951210021973;85.209747314453125;-0.88939070701599121;-3.6005377769470215
NEU1;11.214153289794922;1.572534441947937;-1.7733603715896606;4.05816650390625;2.401970386505127;-6.204345703125
NEU2;13.76202392578125;1.8307864665985107;-3.0209541320800781;4.9133281707763672;2.1917967796325684;-7.8295497894287109
NEU3;17.679828643798828;1.1136531829833984;-2.6249229907989502;8.5350379943847656;0.56676566600799561;-8.0492582321166992
NEU4;20.872291564941406;0.35263597965240479;-1.2705743312835693;11.598217010498047;-0.5593523383140564;-7.8531265258789062
NEU5;74.792327880859375;0.047564506530761719;-0.013792514801025391;78.673667907714844;0.89854001998901367;-0.081002712249755859
NEU6;80.620719909667969;0.00038743019104003906;-0.00035762786865234375;84.335395812988281;0.14373660087585449;1.0776758193969727
NEU7;85.848892211914062;0.000476837158203125;-0.0003814697265625;90.003700256347656;1.0104477405548096;1.9748687744140625
NEU8;90.177879333496094;0.084578990936279297;1.107490062713623;94.067642211914062;0.70711970329284668;2.7111053466796875
A1;35.274890899658203;15.02510929107666;18.231100082397461;28.508754730224609;19.793361663818359;19.043176651000977
B1;64.117202758789062;33.920108795166016;67.200607299804688;63.602668762207031;37.975490570068359;63.792072296142578
C1;22.872898101806641;28.490171432495117;-59.28399658203125;12.690093994140625;36.032573699951172;-63.764595031738281
D1;88.630760192871094;-0.00083446502685546875;1.077115535736084;92.841514587402344;0.95123052597045898;2.6620984077453613
A2;67.173660278320312;17.001659393310547;14.781975746154785;69.253707885742188;16.921758651733398;17.659210205078125
B2;35.489521026611328;21.234169006347656;-55.37213134765625;27.42474365234375;30.301809310913086;-70.932456970214844
C2;53.283912658691406;-48.698081970214844;33.030361175537109;58.812103271484375;-51.968425750732422;42.364276885986328
D2;79.288742065429688;-0.0079572200775146484;0.014007091522216797;82.904266357421875;0.18069148063659668;1.094508171081543
A3;46.919528961181641;-3.2700598239898682;-27.435934066772461;48.498741149902344;-2.6943385601043701;-42.437088012695312
B3;53.592933654785156;48.175067901611328;23.921894073486328;49.590766906738281;57.544231414794922;53.373092651367188
C3;44.623706817626953;46.185672760009766;36.187744140625;37.006172180175781;51.459102630615234;47.151260375976562
D3;66.993812561035156;0.0010430812835693359;0.00053644180297851562;71.897659301757812;0.090479850769042969;-0.32798051834106445
A4;39.279403686523438;-15.57280158996582;24.865268707275391;39.049568176269531;-17.104059219360352;23.901283264160156
B4;25.043125152587891;24.206638336181641;-20.216964721679688;12.904428482055664;16.583137512207031;-31.553754806518555
C4;80.636428833007812;0.65538287162780762;80.602737426757812;84.48126220703125;5.1043329238891602;81.749725341796875
D4;48.548080444335938;1.1461973190307617;-0.18469095230102539;51.993331909179688;-0.042438507080078125;-2.6569604873657227
A5;55.102554321289062;10.463744163513184;-26.167583465576172;54.597076416015625;8.8207426071166992;-34.781158447265625
B5;72.167610168457031;-27.343660354614258;60.694503784179688;78.905082702636719;-18.354236602783203;62.237739562988281
C5;54.08648681640625;47.466964721679688;-10.599279403686523;47.121902465820312;60.386894226074219;0.51113367080688477
D5;30.0186767578125;1.169055700302124;-2.6809453964233398;25.559383392333984;-5.4858627319335938;-6.5095782279968262
A6;70.51806640625;-31.481266021728516;-5.1640629768371582;75.712615966796875;-23.630411148071289;-12.499988555908203
B6;72.678199768066406;18.164337158203125;75.603462219238281;73.442886352539062;21.098972320556641;73.840553283691406
C6;50.333915710449219;-16.91511344909668;-34.867977142333984;55.712013244628906;-15.491813659667969;-40.906642913818359
D6;11.826492309570312;1.57362961769104;-1.8013596534729004;4.2587776184082031;2.4763271808624268;-6.5401134490966797
