name;fujichrome-velvia-100-dehancer-colorchecker
description;fitted LUT style from fujichrome-velvia-100-dehancer-colorchecker.pfm
num_gray;8
patch;L_source;a_source;b_source;L_reference;a_reference;b_reference
WBP1;80.391204833984375;0.85359811782836914;-0.24598836898803711;87.413497924804688;-11.38433837890625;-4.428553581237793
WBP2;81.475578308105469;-1.2581348419189453;-1.0042786598205566;88.655586242675781;-14.017790794372559;-4.5898914337158203
WBP3;81.0606689453125;-2.4225115776062012;-2.4806022644042969;88.139350891113281;-14.682710647583008;-6.5022468566894531
WBP4;81.006301879882812;-4.1615066528320312;-2.7093172073364258;88.288841247558594;-17.143011093139648;-7.0438742637634277
WBP5;81.445152282714844;-6.1036348342895508;-4.3447613716125488;88.68927001953125;-19.478113174438477;-8.1354732513427734
WBL1;80.348518371582031;4.6497583389282227;0.51583051681518555;87.161666870117188;-7.5877008438110352;-3.4132480621337891
WBL2;80.88446044921875;4.2335691452026367;-0.10511875152587891;87.748161315917969;-7.7605247497558594;-4.4609904289245605
WBL3;80.663009643554688;0.858306884765625;-0.28507709503173828;87.671066284179688;-11.394203186035156;-4.4431805610656738
WBL4;80.9986572265625;-1.1971592903137207;-2.6351690292358398;88.209877014160156;-14.194070816040039;-6.4420819282531738
WBL5;80.931396484375;-2.2504925727844238;-5.721282958984375;88.199775695800781;-15.170574188232422;-9.9292755126953125
SAT1;55.61712646484375;51.331401824951172;35.298728942871094;55.7498779296875;47.384651184082031;33.624256134033203
SAT2;73.596458435058594;32.347915649414062;71.353965759277344;74.339065551757812;31.25384521484375;61.366550445556641
SAT3;84.243858337402344;1.2948215007781982;83.623580932617188;85.500503540039062;4.0042996406555176;70.549186706542969
SAT4;64.03167724609375;-53.380668640136719;27.60108757019043;70.623619079589844;-54.969161987304688;21.084260940551758
SAT5;61.605308532714844;-24.731100082397461;-32.802154541015625;72.252792358398438;-31.271249771118164;-32.101512908935547
SAT6;50.979248046875;1.4534890651702881;-52.854572296142578;59.003875732421875;-11.396944046020508;-50.915504455566406
SAT7;52.877632141113281;32.347023010253906;-29.853094100952148;57.637222290039062;19.766271591186523;-28.583776473999023
SAT8;55.58319091796875;51.344154357910156;0.33624172210693359;58.190460205078125;42.033016204833984;0.88617801666259766
A1;35.268318176269531;14.966696739196777;18.2467041015625;32.170894622802734;13.055041313171387;16.435855865478516
B1;64.11761474609375;33.953041076660156;67.190422058105469;64.184371948242188;35.219699859619141;59.475070953369141
C1;22.866123199462891;28.478294372558594;-59.263504028320312;22.230125427246094;16.197502136230469;-52.702426910400391
D1;88.625190734863281;-0.0032186508178710938;1.0762453079223633;94.976402282714844;-13.533979415893555;-2.985846996307373
